<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
5/1/2024,00:00:00,3012.70000000,3027.37000000,3010.07000000,3012.58000000,25699345
5/1/2024,00:15:00,3012.57000000,3021.94000000,3010.11000000,3010.12000000,18408573
5/1/2024,00:30:00,3010.12000000,3018.18000000,3000.00000000,3001.66000000,23934164
5/1/2024,00:45:00,3001.67000000,3005.62000000,2986.00000000,3000.95000000,50252993
5/1/2024,01:00:00,3000.95000000,3009.15000000,2992.80000000,2997.90000000,18686111
5/1/2024,01:15:00,2997.92000000,3003.51000000,2975.96000000,2979.69000000,33488626
5/1/2024,01:30:00,2979.67000000,3007.98000000,2978.55000000,3007.66000000,31967613
5/1/2024,01:45:00,3007.66000000,3013.72000000,3001.90000000,3002.21000000,23530110
5/1/2024,02:00:00,3002.21000000,3009.98000000,2998.01000000,3001.07000000,12917026
5/1/2024,02:15:00,3001.07000000,3002.64000000,2958.04000000,2959.40000000,53125586
5/1/2024,02:30:00,2959.44000000,2990.94000000,2958.00000000,2982.47000000,44486508
5/1/2024,02:45:00,2982.47000000,2990.52000000,2972.43000000,2981.96000000,22162192
5/1/2024,03:00:00,2981.95000000,2989.79000000,2981.52000000,2986.59000000,9563224
5/1/2024,03:15:00,2986.58000000,2993.89000000,2984.35000000,2990.71000000,12514585
5/1/2024,03:30:00,2990.70000000,2996.20000000,2987.16000000,2990.13000000,9849426
5/1/2024,03:45:00,2990.13000000,3004.44000000,2989.50000000,2998.51000000,14488074
5/1/2024,04:00:00,2998.51000000,3007.00000000,2994.86000000,3002.93000000,13231312
5/1/2024,04:15:00,3002.93000000,3012.89000000,3001.16000000,3008.35000000,22620734
5/1/2024,04:30:00,3008.30000000,3010.41000000,3001.94000000,3004.16000000,9254786
5/1/2024,04:45:00,3004.15000000,3010.91000000,3003.50000000,3007.72000000,9434456
5/1/2024,05:00:00,3007.72000000,3008.55000000,3002.67000000,3005.01000000,7028322
5/1/2024,05:15:00,3005.01000000,3009.58000000,2997.23000000,3001.43000000,14895169
5/1/2024,05:30:00,3001.44000000,3004.44000000,2985.84000000,2987.56000000,19973931
5/1/2024,05:45:00,2987.55000000,3004.93000000,2987.55000000,2991.84000000,27177276
5/1/2024,06:00:00,2991.85000000,2994.58000000,2984.62000000,2993.29000000,19315191
5/1/2024,06:15:00,2993.29000000,2995.77000000,2982.83000000,2983.72000000,17431422
5/1/2024,06:30:00,2983.71000000,2989.72000000,2968.17000000,2969.90000000,33388641
5/1/2024,06:45:00,2969.91000000,2974.54000000,2961.53000000,2969.14000000,37505581
5/1/2024,07:00:00,2969.14000000,2971.87000000,2949.24000000,2952.75000000,51588194
5/1/2024,07:15:00,2952.76000000,2956.57000000,2851.00000000,2899.99000000,268877236
5/1/2024,07:30:00,2900.00000000,2912.84000000,2861.82000000,2896.01000000,138432574
5/1/2024,07:45:00,2896.01000000,2905.00000000,2868.00000000,2882.32000000,118832978
5/1/2024,08:00:00,2882.33000000,2892.85000000,2856.74000000,2868.49000000,93989643
5/1/2024,08:15:00,2868.48000000,2873.48000000,2845.00000000,2866.65000000,129821518
5/1/2024,08:30:00,2866.66000000,2867.47000000,2814.44000000,2845.09000000,188465991
5/1/2024,08:45:00,2845.08000000,2857.30000000,2840.00000000,2848.09000000,80299959
5/1/2024,09:00:00,2848.08000000,2864.19000000,2845.00000000,2861.67000000,61163843
5/1/2024,09:15:00,2861.67000000,2887.87000000,2856.26000000,2879.20000000,79857372
5/1/2024,09:30:00,2879.19000000,2890.95000000,2873.48000000,2882.90000000,37147812
5/1/2024,09:45:00,2882.89000000,2888.00000000,2874.80000000,2881.60000000,25840589
5/1/2024,10:00:00,2881.60000000,2882.48000000,2868.04000000,2874.40000000,33704583
5/1/2024,10:15:00,2874.38000000,2878.00000000,2858.30000000,2868.49000000,39461343
5/1/2024,10:30:00,2868.49000000,2894.02000000,2865.13000000,2880.41000000,46934108
5/1/2024,10:45:00,2880.42000000,2893.20000000,2877.57000000,2891.07000000,24124661
5/1/2024,11:00:00,2891.07000000,2896.75000000,2881.93000000,2892.99000000,24252300
5/1/2024,11:15:00,2893.00000000,2897.82000000,2883.78000000,2888.52000000,27045391
5/1/2024,11:30:00,2888.53000000,2895.55000000,2882.34000000,2886.92000000,14769937
5/1/2024,11:45:00,2886.91000000,2886.92000000,2877.78000000,2885.99000000,16194729
5/1/2024,12:00:00,2885.99000000,2904.83000000,2885.61000000,2904.19000000,32648739
5/1/2024,12:15:00,2904.19000000,2932.70000000,2896.98000000,2931.78000000,65791848
5/1/2024,12:30:00,2931.77000000,2932.46000000,2915.20000000,2918.98000000,38217938
5/1/2024,12:45:00,2918.98000000,2929.88000000,2917.60000000,2920.40000000,26176779
5/1/2024,13:00:00,2920.41000000,2921.66000000,2912.22000000,2915.92000000,21455154
5/1/2024,13:15:00,2915.92000000,2920.42000000,2905.32000000,2911.54000000,34130439
5/1/2024,13:30:00,2911.55000000,2911.55000000,2897.36000000,2898.43000000,28762076
5/1/2024,13:45:00,2898.43000000,2900.00000000,2878.31000000,2891.13000000,73088776
5/1/2024,14:00:00,2891.12000000,2904.90000000,2887.00000000,2888.76000000,32803831
5/1/2024,14:15:00,2888.77000000,2903.51000000,2884.15000000,2889.04000000,47938629
5/1/2024,14:30:00,2889.01000000,2904.30000000,2880.36000000,2894.36000000,45199315
5/1/2024,14:45:00,2894.36000000,2900.98000000,2884.00000000,2900.98000000,27160880
5/1/2024,15:00:00,2900.97000000,2911.80000000,2893.38000000,2904.72000000,25576048
5/1/2024,15:15:00,2904.68000000,2906.55000000,2877.33000000,2877.83000000,45478248
5/1/2024,15:30:00,2877.93000000,2894.00000000,2864.16000000,2887.99000000,78506442
5/1/2024,15:45:00,2887.99000000,2892.50000000,2880.28000000,2881.80000000,20537633
5/1/2024,16:00:00,2881.80000000,2887.20000000,2873.17000000,2884.31000000,26275958
5/1/2024,16:15:00,2884.32000000,2891.66000000,2874.50000000,2883.71000000,33808324
5/1/2024,16:30:00,2883.72000000,2907.50000000,2879.52000000,2903.02000000,45095436
5/1/2024,16:45:00,2903.02000000,2912.97000000,2886.55000000,2887.05000000,31426376
5/1/2024,17:00:00,2887.04000000,2893.82000000,2880.06000000,2889.77000000,15772352
5/1/2024,17:15:00,2889.77000000,2896.52000000,2873.60000000,2874.31000000,28680274
5/1/2024,17:30:00,2874.32000000,2896.91000000,2866.78000000,2893.97000000,34898569
5/1/2024,17:45:00,2893.96000000,2906.00000000,2891.11000000,2900.67000000,24555567
5/1/2024,18:00:00,2900.67000000,2932.86000000,2898.14000000,2920.38000000,62922152
5/1/2024,18:15:00,2920.38000000,2977.91000000,2916.46000000,2964.90000000,170416132
5/1/2024,18:30:00,2964.90000000,2971.87000000,2937.85000000,2964.65000000,68142249
5/1/2024,18:45:00,2964.66000000,2994.96000000,2945.35000000,2991.49000000,121482985
5/1/2024,19:00:00,2991.50000000,3014.94000000,2980.26000000,2988.19000000,138347282
5/1/2024,19:15:00,2988.20000000,2999.85000000,2966.52000000,2970.56000000,92771268
5/1/2024,19:30:00,2970.56000000,2975.83000000,2953.80000000,2955.35000000,53541810
5/1/2024,19:45:00,2955.36000000,2955.92000000,2908.21000000,2934.40000000,156313202
5/1/2024,20:00:00,2934.41000000,2945.94000000,2915.92000000,2924.80000000,58659309
5/1/2024,20:15:00,2924.79000000,2941.44000000,2923.17000000,2931.21000000,38603712
5/1/2024,20:30:00,2931.22000000,2938.90000000,2912.34000000,2936.81000000,40878541
5/1/2024,20:45:00,2936.80000000,2943.60000000,2927.44000000,2941.09000000,25777919
5/1/2024,21:00:00,2941.10000000,2946.65000000,2937.91000000,2939.39000000,17997368
5/1/2024,21:15:00,2939.40000000,2944.86000000,2933.87000000,2940.14000000,16383702
5/1/2024,21:30:00,2940.14000000,2975.37000000,2936.20000000,2972.96000000,52020427
5/1/2024,21:45:00,2972.95000000,2975.94000000,2957.19000000,2960.80000000,19769143
5/1/2024,22:00:00,2960.80000000,2970.64000000,2960.79000000,2966.39000000,8913402
5/1/2024,22:15:00,2966.40000000,2978.71000000,2964.94000000,2970.77000000,30783135
5/1/2024,22:30:00,2970.77000000,2975.03000000,2964.55000000,2970.69000000,11569151
5/1/2024,22:45:00,2970.70000000,2976.26000000,2967.40000000,2970.46000000,13795359
5/1/2024,23:00:00,2970.46000000,2973.92000000,2964.30000000,2968.15000000,17396895
5/1/2024,23:15:00,2968.15000000,2972.27000000,2963.69000000,2970.57000000,10910740
5/1/2024,23:30:00,2970.57000000,2970.82000000,2965.09000000,2965.49000000,8084806
5/1/2024,23:45:00,2965.49000000,2980.83000000,2961.00000000,2977.20000000,20726369
5/2/2024,00:00:00,2977.20000000,2983.98000000,2970.37000000,2970.61000000,25758225
5/2/2024,00:15:00,2970.61000000,2980.67000000,2965.30000000,2966.26000000,30204023
5/2/2024,00:30:00,2966.26000000,2972.73000000,2958.78000000,2964.46000000,18968491
5/2/2024,00:45:00,2964.46000000,2968.52000000,2946.18000000,2946.21000000,30592460
5/2/2024,01:00:00,2946.20000000,2952.61000000,2943.20000000,2946.99000000,15716466
5/2/2024,01:15:00,2946.99000000,2955.99000000,2946.59000000,2951.74000000,16735112
5/2/2024,01:30:00,2951.74000000,2953.90000000,2941.15000000,2941.88000000,12978885
5/2/2024,01:45:00,2941.87000000,2942.00000000,2890.00000000,2904.52000000,96726292
5/2/2024,02:00:00,2904.51000000,2914.67000000,2900.04000000,2905.00000000,34405275
5/2/2024,02:15:00,2904.99000000,2917.35000000,2904.72000000,2913.99000000,23960337
5/2/2024,02:30:00,2913.99000000,2917.05000000,2900.11000000,2905.58000000,21385797
5/2/2024,02:45:00,2905.59000000,2919.00000000,2900.20000000,2915.86000000,29770246
5/2/2024,03:00:00,2915.85000000,2927.36000000,2914.85000000,2916.41000000,24769797
5/2/2024,03:15:00,2916.42000000,2924.23000000,2916.15000000,2923.69000000,11914652
5/2/2024,03:30:00,2923.69000000,2933.46000000,2920.52000000,2932.84000000,16802936
5/2/2024,03:45:00,2932.84000000,2933.87000000,2925.09000000,2926.48000000,10104332
5/2/2024,04:00:00,2926.48000000,2932.05000000,2921.71000000,2928.00000000,17081560
5/2/2024,04:15:00,2928.00000000,2933.97000000,2927.72000000,2931.56000000,11235028
5/2/2024,04:30:00,2931.56000000,2935.83000000,2929.74000000,2934.83000000,8127744
5/2/2024,04:45:00,2934.83000000,2937.36000000,2927.99000000,2927.99000000,11329764
5/2/2024,05:00:00,2927.99000000,2930.86000000,2915.96000000,2921.48000000,24973457
5/2/2024,05:15:00,2921.48000000,2922.00000000,2908.00000000,2917.35000000,21701476
5/2/2024,05:30:00,2917.35000000,2917.65000000,2900.00000000,2901.96000000,23452504
5/2/2024,05:45:00,2901.95000000,2910.65000000,2896.28000000,2910.64000000,21618362
5/2/2024,06:00:00,2910.65000000,2917.79000000,2910.65000000,2914.98000000,15711655
5/2/2024,06:15:00,2914.99000000,2923.28000000,2911.26000000,2917.00000000,17591295
5/2/2024,06:30:00,2917.01000000,2922.54000000,2908.58000000,2922.27000000,13433844
5/2/2024,06:45:00,2922.28000000,2924.62000000,2912.81000000,2916.69000000,11885644
5/2/2024,07:00:00,2916.69000000,2920.26000000,2909.47000000,2913.49000000,7872432
5/2/2024,07:15:00,2913.50000000,2933.10000000,2912.69000000,2926.44000000,24422948
5/2/2024,07:30:00,2926.44000000,2935.16000000,2925.50000000,2928.88000000,20877426
5/2/2024,07:45:00,2928.87000000,2930.23000000,2923.14000000,2925.41000000,9783453
5/2/2024,08:00:00,2925.40000000,2925.51000000,2918.00000000,2919.88000000,11408583
5/2/2024,08:15:00,2919.89000000,2932.20000000,2915.09000000,2928.24000000,16916974
5/2/2024,08:30:00,2928.24000000,2943.13000000,2924.87000000,2940.37000000,24715917
5/2/2024,08:45:00,2940.38000000,2944.80000000,2934.56000000,2938.35000000,21401374
5/2/2024,09:00:00,2938.34000000,2943.81000000,2935.46000000,2940.45000000,11078841
5/2/2024,09:15:00,2940.45000000,2944.06000000,2935.58000000,2938.26000000,10243012
5/2/2024,09:30:00,2938.26000000,2946.13000000,2932.80000000,2940.59000000,15162668
5/2/2024,09:45:00,2940.59000000,2943.00000000,2935.32000000,2939.06000000,11469290
5/2/2024,10:00:00,2939.05000000,2947.52000000,2938.75000000,2945.00000000,11628693
5/2/2024,10:15:00,2945.00000000,2951.30000000,2938.90000000,2946.35000000,15176082
5/2/2024,10:30:00,2946.35000000,2949.53000000,2942.78000000,2944.84000000,10668915
5/2/2024,10:45:00,2944.83000000,2950.38000000,2935.88000000,2949.18000000,16168633
5/2/2024,11:00:00,2949.18000000,2969.90000000,2947.12000000,2964.31000000,72579173
5/2/2024,11:15:00,2964.31000000,3007.64000000,2963.65000000,2983.79000000,143497324
5/2/2024,11:30:00,2983.76000000,2998.50000000,2980.02000000,2990.46000000,39840823
5/2/2024,11:45:00,2990.46000000,2991.42000000,2973.52000000,2989.99000000,39133671
5/2/2024,12:00:00,2990.00000000,3002.22000000,2983.60000000,2994.44000000,48690451
5/2/2024,12:15:00,2994.44000000,3004.06000000,2988.15000000,3003.99000000,33493789
5/2/2024,12:30:00,3003.98000000,3012.00000000,2985.75000000,2986.46000000,66472916
5/2/2024,12:45:00,2986.47000000,2999.98000000,2985.75000000,2990.72000000,23664826
5/2/2024,13:00:00,2990.71000000,2995.32000000,2979.41000000,2981.19000000,30095963
5/2/2024,13:15:00,2981.20000000,2987.83000000,2973.76000000,2980.26000000,27997128
5/2/2024,13:30:00,2980.25000000,2984.99000000,2972.01000000,2981.59000000,29473526
5/2/2024,13:45:00,2981.58000000,2983.30000000,2963.25000000,2972.58000000,43911951
5/2/2024,14:00:00,2972.58000000,2975.62000000,2955.34000000,2964.59000000,40935083
5/2/2024,14:15:00,2964.59000000,2973.56000000,2951.08000000,2958.51000000,43055354
5/2/2024,14:30:00,2958.50000000,2975.40000000,2956.32000000,2973.69000000,33251931
5/2/2024,14:45:00,2973.70000000,2995.16000000,2969.38000000,2992.18000000,62141787
5/2/2024,15:00:00,2992.18000000,2996.83000000,2983.14000000,2990.77000000,33494844
5/2/2024,15:15:00,2990.77000000,2997.60000000,2983.85000000,2995.45000000,29700770
5/2/2024,15:30:00,2995.45000000,2999.88000000,2988.04000000,2998.89000000,25904302
5/2/2024,15:45:00,2998.89000000,2999.20000000,2990.00000000,2994.93000000,23566261
5/2/2024,16:00:00,2994.93000000,2997.99000000,2986.15000000,2988.65000000,24141113
5/2/2024,16:15:00,2988.66000000,2990.61000000,2975.52000000,2980.76000000,31956722
5/2/2024,16:30:00,2980.77000000,2993.74000000,2978.00000000,2993.74000000,21853667
5/2/2024,16:45:00,2993.75000000,2993.75000000,2980.67000000,2983.10000000,17579794
5/2/2024,17:00:00,2983.10000000,2985.54000000,2975.02000000,2979.99000000,18794575
5/2/2024,17:15:00,2979.99000000,2988.33000000,2973.44000000,2984.91000000,17871219
5/2/2024,17:30:00,2984.92000000,2997.99000000,2983.25000000,2987.96000000,17647291
5/2/2024,17:45:00,2987.99000000,2993.24000000,2980.18000000,2983.22000000,11189561
5/2/2024,18:00:00,2983.22000000,2996.34000000,2980.65000000,2991.23000000,16104273
5/2/2024,18:15:00,2991.24000000,2999.93000000,2988.00000000,2988.50000000,20855190
5/2/2024,18:30:00,2988.51000000,2988.80000000,2970.00000000,2978.91000000,24165640
5/2/2024,18:45:00,2978.92000000,2996.13000000,2972.05000000,2990.40000000,24504937
5/2/2024,19:00:00,2990.39000000,3006.00000000,2986.39000000,2990.47000000,30765754
5/2/2024,19:15:00,2990.46000000,2991.58000000,2980.05000000,2981.87000000,16020600
5/2/2024,19:30:00,2981.87000000,2990.72000000,2979.20000000,2988.11000000,8297230
5/2/2024,19:45:00,2988.11000000,2990.62000000,2980.83000000,2988.35000000,7914883
5/2/2024,20:00:00,2988.34000000,2999.88000000,2986.24000000,2998.45000000,11756656
5/2/2024,20:15:00,2998.44000000,3000.94000000,2992.18000000,2997.85000000,13929353
5/2/2024,20:30:00,2997.85000000,2999.29000000,2984.30000000,2986.56000000,16003070
5/2/2024,20:45:00,2986.55000000,2989.40000000,2967.54000000,2987.59000000,46400035
